id,host_verifications,amex,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,photographer,reviews,sent_id,weibo,number_of_host_verifications
241032,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
953595,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",0,1,1,0,1,0,1,0,0,1,0,1,0,0,6
3308979,"['email', 'phone', 'google', 'reviews', 'jumio']",0,1,0,1,1,0,0,0,0,1,0,1,0,0,5
278830,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
5956968,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
1909058,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
856550,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",0,1,1,1,1,0,1,0,0,1,0,1,0,0,7
4948745,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",0,1,1,0,0,1,1,0,0,1,0,1,0,0,6
2493658,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",0,1,1,0,1,0,1,0,0,1,0,1,0,0,6
175576,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
4454295,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
3883392,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",0,1,0,0,1,0,1,0,0,1,0,1,0,0,5
8889257,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
5680462,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
8988178,"['email', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,0,0,1,0,0,3
3245876,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",0,1,1,0,1,0,1,0,0,1,0,1,0,0,6
4933447,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
6291829,"['email', 'phone', 'linkedin', 'reviews', 'kba']",0,1,0,0,0,1,1,0,0,1,0,1,0,0,5
9218403,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
4125779,"['email', 'phone', 'facebook', 'reviews']",0,1,1,0,0,0,0,0,0,1,0,1,0,0,4
8942678,"['phone', 'reviews']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
10106055,['phone'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6362362,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,0,1,0,0,3
3544550,"['email', 'phone', 'google', 'reviews', 'jumio']",0,1,0,1,1,0,0,0,0,1,0,1,0,0,5
9025039,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,0,1,0,0,5
3200646,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",0,1,1,1,1,0,1,0,0,1,0,1,0,0,7
8859380,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,0,1,0,0,5
4520099,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
2481869,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",0,1,1,0,1,0,1,0,0,1,0,1,0,0,6
1110749,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",0,1,1,0,1,0,1,0,0,1,0,1,0,0,6
5978498,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
5021081,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",0,1,1,1,1,0,0,0,0,1,0,1,0,0,6
1686930,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,0,1,0,0,3
7680289,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
7207641,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",0,1,1,0,1,0,1,0,0,1,0,1,0,0,6
5062445,"['email', 'phone', 'facebook', 'reviews']",0,1,1,0,0,0,0,0,0,1,0,1,0,0,4
8925878,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
6389657,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",0,1,1,1,0,1,1,0,0,1,0,1,0,0,7
4218733,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
2715623,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
1392332,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,0,1,0,0,4
7308567,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,0,1,0,0,4
6575380,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
6004058,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,0,1,0,0,5
9550869,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,0,1,0,0,5
